"","Dest_lon","Dest_lat","unqDests"
"218",-176.6217472,51.7615874,"Adak Island, Alaska"
"219",-74.759717,40.2205824,"Trenton, New Jersey"
"220",-75.5483909,39.744655,"Wilmington, Delaware"
"221",-123.0867536,44.0520691,"Eugene, Oregon"
"222",-111.0429339,45.6769979,"Bozeman, Montana"
"223",-93.2185144,36.6436731,"Branson, Missouri"
"224",-119.6981901,34.4208305,"Santa Barbara, California"
"225",-119.7871247,36.7377981,"Fresno, California"
"226",-170.7020359,-14.2756319,"Pago Pago, U.S. Pacific Trust Territories and Possessions"
"227",-155.0868193,19.7241106,"Hilo, Hawaii"
"228",-118.1937395,33.7700504,"Long Beach, California"
"229",-66.1057355,18.4655394,"San Juan, Puerto Rico"
"230",-66.6140616,18.0110768,"Ponce, Puerto Rico"
"231",-67.1540698,18.4274454,"Aguadilla, Puerto Rico"
"232",-82.5306527,27.3364347,"Sarasota/Bradenton, Florida"
"233",-73.7477857,41.6230989,"Newburgh/Poughkeepsie, New York"
"234",-71.8022934,42.2625932,"Worcester, Massachusetts"
"235",-105.5022205,44.2910915,"Gillette, Wyoming"
"236",-109.2029043,41.5874644,"Rock Springs, Wyoming"
"237",-88.0720706,45.7949561,"Iron Mountain/Kingsfd, Michigan"
"238",-107.2636842,40.4894302,"Hayden, Colorado"
"239",-110.7624282,43.4799291,"Jackson, Wyoming"
"240",-109.0565308,44.5263422,"Cody, Wyoming"
"241",-106.3251749,42.8500769,"Casper, Wyoming"
"242",-119.119948,46.2086683,"Pasco/Kennewick/Richland, Washington"
"243",-113.0618931,37.6774769,"Cedar City, Utah"
"244",-113.5684164,37.0965278,"St. George, Utah"
"245",-109.5287479,40.4555157,"Vernal, Utah"
"246",-109.5498395,38.5733155,"Moab, Utah"
"247",-121.303351,44.069771,"Bend/Redmond, Oregon"
"248",-122.8755949,42.3265152,"Medford, Oregon"
"249",-115.7631232,40.8324211,"Elko, Nevada"
"250",-119.8138027,39.5296329,"Reno, Nevada"
"251",-112.0391057,46.5891452,"Helena, Montana"
"252",-112.5347775,46.0038232,"Butte, Montana"
"253",-114.316813,48.1919889,"Kalispell, Montana"
"254",-113.9940314,46.8721284,"Missoula, Montana"
"255",-111.3007715,47.5052849,"Great Falls, Montana"
"256",-114.4700518,42.5558381,"Twin Falls, Idaho"
"257",-112.0407584,43.4926607,"Idaho Falls, Idaho"
"258",-116.2023137,43.6150186,"Boise, Idaho"
"259",-114.3650361,43.680876,"Sun Valley/Hailey/Ketchum, Idaho"
"260",-112.4506191,42.8621042,"Pocatello, Idaho"
"261",-117.001189,46.4004089,"Lewiston, Idaho"
"262",-119.0187125,35.3732921,"Bakersfield, California"
"263",-121.7816704,42.224867,"Klamath Falls, Oregon"
"264",-89.4120753,45.6366228,"Rhinelander, Wisconsin"
"265",-98.4864829,45.4646985,"Aberdeen, South Dakota"
"266",-92.9376887,47.4271546,"Hibbing, Minnesota"
"267",-94.8826861,47.471573,"Bemidji, Minnesota"
"268",-94.2020084,46.3526733,"Brainerd, Minnesota"
"269",-93.4040679,48.6023149,"International Falls, Minnesota"
"270",-92.1004852,46.7866719,"Duluth, Minnesota"
"271",-83.4327528,45.0616794,"Alpena, Michigan"
"272",-84.2466905,43.6524942,"Saginaw/Bay City/Midland, Michigan"
"273",-91.4984941,44.811349,"Eau Claire, Wisconsin"
"274",-88.5809563,47.1268714,"Hancock/Houghton, Michigan"
"275",-86.2483921,43.2341813,"Muskegon, Michigan"
"276",-88.6000478,37.0833893,"Paducah, Kentucky"
"277",-105.5911007,41.3113669,"Laramie, Wyoming"
"278",-121.8946761,36.6002378,"Monterey, California"
"279",-124.2242803,43.4065012,"North Bend/Coos Bay, Oregon"
"280",-124.1636729,40.8020712,"Arcata/Eureka, California"
"281",-120.6596156,35.2827524,"San Luis Obispo, California"
"282",-120.4357191,34.9530337,"Santa Maria, California"
"283",-117.3505939,33.1580933,"Carlsbad, California"
"284",-121.8374777,39.7284944,"Chico, California"
"285",-122.3916754,40.5865396,"Redding, California"
"286",-120.9970014,37.6392595,"Modesto, California"
"287",-118.972079,37.648546,"Mammoth Lakes, California"
"288",-124.2025913,41.7557501,"Crescent City, California"
"289",-114.6276916,32.6926512,"Yuma, Arizona"
"290",-111.651302,35.1982836,"Flagstaff, Arizona"
"291",-106.8286507,39.6552634,"Eagle, Colorado"
"292",144.793731,13.444304,"Guam, U.S. Pacific Trust Territories and Possessions"
"293",-81.0228331,29.2108147,"Daytona Beach, Florida"
"294",-85.6602058,30.1588129,"Panama City, Florida"
"295",-80.6081089,28.0836269,"Melbourne, Florida"
"296",-73.2103934,40.7298207,"Islip, New York"
